Timestamp,Event_Type,Duration_Seconds,Peak_Value
2026-05-19 21:23:11,DROWSINESS,2.01,0.054
2026-05-19 21:23:28,DROWSINESS,14.25,0.016
2026-05-19 21:23:28,DISTRACTION,9.21,0.438
2026-05-19 21:23:37,YAWN,4.6,1.168
2026-05-19 21:23:38,DROWSINESS,5.7,0.034
2026-05-19 21:23:42,DISTRACTION,2.02,0.517
2026-05-19 21:23:48,DROWSINESS,1.6,0.138
2026-05-19 21:23:49,YAWN,3.32,0.949
2026-05-19 21:23:56,DROWSINESS,5.48,0.131
2026-05-19 21:23:58,DROWSINESS,1.62,0.045
2026-05-19 21:24:17,DROWSINESS,10.67,0.034
2026-05-19 21:24:32,DISTRACTION,4.04,0.981
2026-05-19 21:26:28,DISTRACTION,2.87,0.403
2026-05-19 21:26:55,DISTRACTION,3.13,0.513
2026-05-19 21:27:37,DISTRACTION,2.8,0.701
2026-05-19 21:29:01,DROWSINESS,1.93,0.055
2026-05-19 21:29:15,DISTRACTION,2.37,0.423
2026-05-19 22:34:59,DISTRACTION,6.64,0.463
2026-05-19 22:35:15,DISTRACTION,15.84,0.545
2026-05-19 22:35:24,DROWSINESS,3.97,0.129
2026-05-19 22:35:25,DISTRACTION,6.81,0.923
2026-05-19 22:35:53,YAWN,5.01,0.74
2026-05-19 22:37:29,DISTRACTION,2.83,0.555
2026-05-19 22:37:33,DISTRACTION,2.66,0.627
2026-05-19 22:38:29,YAWN,4.24,0.688
2026-05-19 22:38:34,DROWSINESS,3.93,0.064
2026-05-19 22:38:48,YAWN,3.04,0.698
2026-05-19 22:38:57,DISTRACTION,7.11,0.805
2026-05-19 22:39:18,DROWSINESS,13.11,0.02
2026-05-19 22:39:20,DROWSINESS,1.62,0.124
2026-05-19 22:39:25,YAWN,5.19,0.837
2026-05-19 22:39:34,DROWSINESS,3.58,0.151
2026-05-19 22:39:35,YAWN,4.13,0.894
2026-05-19 22:39:44,DROWSINESS,3.67,0.046
2026-05-19 22:39:55,DROWSINESS,4.63,0.06
2026-05-19 22:39:56,DISTRACTION,4.96,0.304
2026-05-19 22:40:07,DISTRACTION,5.76,1.0
2026-05-19 22:40:23,DROWSINESS,6.08,0.021
2026-05-19 22:40:54,DROWSINESS,3.02,0.016
2026-05-19 22:41:44,DISTRACTION,2.87,0.465
2026-05-19 23:18:59,DISTRACTION,6.28,0.577
2026-05-19 23:19:02,DISTRACTION,2.73,0.678
2026-05-19 23:20:07,YAWN,4.34,0.791
2026-05-19 23:20:13,DROWSINESS,3.25,0.017
2026-05-19 23:20:19,DROWSINESS,1.58,0.134
2026-05-19 23:20:20,YAWN,3.58,0.836
2026-05-19 23:20:28,DISTRACTION,5.16,0.754
2026-05-19 23:20:34,DROWSINESS,4.23,0.036
2026-05-19 23:20:42,DISTRACTION,4.87,0.608
2026-05-19 23:20:47,YAWN,3.08,0.828
2026-05-19 23:20:55,DROWSINESS,7.33,0.045
2026-05-19 23:21:36,DROWSINESS,2.48,0.078
2026-05-19 23:22:22,DROWSINESS,1.77,0.044
2026-05-19 23:22:23,DISTRACTION,2.83,0.596
2026-05-19 23:22:36,DROWSINESS,1.73,0.016
2026-05-19 23:23:22,YAWN,5.26,0.949
2026-05-19 23:28:15,DISTRACTION,1.93,0.352
